dataset,kernel,protocol,n_seeds,recall_2p_mean,recall_2p_std,recall_5p_mean,recall_5p_std,spearman_mean,spearman_std,budget_pct
aayl51,matern,random,3,0.0958,0.0567,0.1065,0.0401,0.4986,0.0103,9.95
aayl51,rbf,ucb,3,0.2835,0.0543,0.27,0.0163,0.242,0.0631,9.95
aayl51,rbf,ei,3,0.2529,0.0415,0.2392,0.0175,0.3666,0.0221,9.95
aayl51,rbf,pi,3,0.2912,0.0807,0.2639,0.0212,0.2772,0.0215,9.95
aayl51,rbf,random,3,0.0958,0.0567,0.1065,0.0401,0.4813,0.0057,9.95
aayl51,rq,ucb,3,0.3218,0.0199,0.3056,0.0139,0.4106,0.0418,9.95
aayl51,rq,ei,3,0.3257,0.0289,0.2546,0.0202,0.4507,0.0309,9.95
aayl51,rq,pi,3,0.3142,0.0435,0.2793,0.0255,0.4639,0.0124,9.95
aayl51,rq,random,3,0.0958,0.0567,0.1065,0.0401,0.5077,0.0104,9.95
aayl49_ml,tanimoto,ucb,3,0.3037,0.0306,0.2917,0.0169,0.3373,0.0065,10.05
aayl49_ml,tanimoto,ei,3,0.2648,0.0179,0.2545,0.0161,0.3586,0.0112,10.05
aayl49_ml,tanimoto,pi,3,0.2963,0.0128,0.2768,0.0169,0.3535,0.0068,10.05
aayl49_ml,tanimoto,random,3,0.0907,0.017,0.1146,0.0034,0.4664,0.0138,10.05
aayl49_ml,matern,ucb,3,0.2741,0.0251,0.2701,0.0302,0.1636,0.0391,10.05
aayl49_ml,matern,ei,3,0.2204,0.1046,0.2128,0.115,0.1699,0.0321,10.05
aayl49_ml,matern,pi,3,0.2778,0.0222,0.2671,0.0258,0.1739,0.0473,10.05
aayl49_ml,matern,random,3,0.0907,0.017,0.1146,0.0034,0.489,0.0114,10.05
aayl49_ml,rbf,ucb,3,0.2315,0.025,0.2344,0.0302,0.1824,0.1081,10.05
aayl49_ml,rbf,ei,3,0.2389,0.0056,0.2493,0.019,0.1426,0.05,10.05
aayl49_ml,rbf,pi,3,0.2278,0.0056,0.2403,0.0226,0.1452,0.0736,10.05
aayl49_ml,rbf,random,3,0.0907,0.017,0.1146,0.0034,0.4773,0.0137,10.05
aayl49_ml,rq,ucb,3,0.2759,0.0431,0.279,0.0257,0.3115,0.0431,10.05
aayl49_ml,rq,ei,3,0.2833,0.0294,0.2917,0.0141,0.32,0.0301,10.05
aayl49_ml,rq,pi,3,0.2963,0.0263,0.2946,0.0102,0.3105,0.032,10.05
aayl49_ml,rq,random,3,0.0907,0.017,0.1146,0.0034,0.4936,0.0099,10.05
aayl50,tanimoto,ucb,3,0.6261,0.0415,0.4838,0.0224,0.4068,0.0025,10.02
aayl50,tanimoto,ei,3,0.5725,0.0239,0.428,0.0081,0.434,0.0139,10.02
aayl50,tanimoto,pi,3,0.2406,0.2516,0.18,0.1609,0.4757,0.0367,10.02
aayl50,tanimoto,random,3,0.0884,0.0139,0.0964,0.0172,0.5087,0.0028,10.02
aayl50,matern,ucb,3,0.5333,0.0465,0.4164,0.0246,0.277,0.0014,10.02
aayl50,matern,ei,3,0.4971,0.0239,0.3688,0.0116,0.3621,0.0152,10.02
aayl50,matern,pi,3,0.2507,0.2444,0.1963,0.1712,0.445,0.0866,10.02
aayl50,matern,random,3,0.0884,0.0139,0.0964,0.0172,0.5044,0.0027,10.02
aayl50,rbf,ucb,3,0.5652,0.0264,0.4134,0.0089,0.259,0.0235,10.02
aayl50,rbf,ei,3,0.4652,0.0529,0.3444,0.0323,0.3618,0.0445,10.02
aayl50,rbf,pi,3,0.2884,0.2154,0.2143,0.1555,0.4106,0.1045,10.02
aayl50,rbf,random,3,0.0884,0.0139,0.0964,0.0172,0.4128,0.1352,10.02
aayl50,rq,ucb,3,0.5551,0.0677,0.4332,0.0413,0.4186,0.0214,10.02
aayl50,rq,ei,3,0.5594,0.014,0.4199,0.0142,0.4322,0.0115,10.02
aayl50,rq,pi,3,0.2391,0.2491,0.1812,0.1616,0.4907,0.0412,10.02
aayl50,rq,random,3,0.0884,0.0139,0.0964,0.0172,0.5199,0.0016,10.02
aayl52,tanimoto,ucb,3,0.8165,0.0195,0.6677,0.0087,0.5013,0.0066,9.98
aayl52,tanimoto,ei,3,0.7765,0.0254,0.6302,0.0125,0.5061,0.0059,9.98
aayl52,tanimoto,pi,3,0.7828,0.0259,0.6337,0.0174,0.5047,0.0112,9.98
aayl52,tanimoto,random,3,0.0961,0.0271,0.095,0.0114,0.5627,0.0028,9.98
aayl52,matern,ucb,3,0.7565,0.0259,0.6262,0.0142,0.3067,0.0129,9.98
aayl52,matern,ei,3,0.7878,0.0206,0.6332,0.0031,0.3067,0.0055,9.98
aayl52,matern,pi,3,0.7703,0.0115,0.6262,0.0053,0.3003,0.0071,9.98
aayl52,matern,random,3,0.0961,0.0271,0.095,0.0114,0.5573,0.0042,9.98
aayl52,rbf,ucb,3,0.7578,0.0189,0.6187,0.01,0.2708,0.0084,9.98
aayl52,rbf,ei,3,0.7728,0.0271,0.6157,0.0146,0.2634,0.0109,9.98
aayl52,rbf,pi,3,0.7915,0.0213,0.6197,0.018,0.2642,0.0101,9.98
aayl52,rbf,random,3,0.0961,0.0271,0.095,0.0114,0.5424,0.0007,9.98
aayl52,rq,ucb,3,0.8028,0.0192,0.6607,0.0191,0.4915,0.0143,9.98
aayl52,rq,ei,3,0.789,0.0108,0.6322,0.0062,0.4995,0.0133,9.98
aayl52,rq,pi,3,0.799,0.0219,0.6447,0.0075,0.4937,0.0129,9.98
aayl52,rq,random,3,0.0961,0.0271,0.095,0.0114,0.5717,0.0022,9.98
4fqi_h3,tanimoto,ucb,3,1.0,0.0,0.9993,0.0003,0.5392,0.0004,9.99
